epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6262,0.87819,1.83263,1.53736,1.15526,0.71935,0.47541,0.53565,0.33606,0.70089,0.4509,0.49464,0.26759,1.11425,2.34331,2.09038,1.32353,0.000412582,0.000412582,0.000412582
2,29.9068,1.00561,1.63309,1.16633,1.2192,0.45993,0.64251,0.60561,0.36634,0.43017,0.61171,0.56773,0.27837,1.22141,2.68101,1.64025,1.36974,0.000826512,0.000826512,0.000826512
3,49.7467,1.06188,1.7294,1.12391,1.2392,0.48087,0.46562,0.53291,0.31265,0.44803,0.44184,0.47731,0.25758,1.14718,2.29314,2.42871,1.3445,0.00123769,0.00123769,0.00123769
4,64.1462,1.01152,1.65131,1.01858,1.20641,0.45185,0.72153,0.62972,0.34799,0.42348,0.64017,0.57106,0.26182,1.19117,4.09949,2.41779,1.32113,0.00123763,0.00123763,0.00123763
5,78.218,0.95852,1.56837,0.94161,1.16274,0.81681,0.5695,0.70796,0.43725,0.79195,0.54311,0.64158,0.39855,1.14072,1.96624,1.37068,1.27319,0.0012335,0.0012335,0.0012335
6,92.5573,0.89969,1.4875,0.88348,1.13854,0.6982,0.73775,0.77088,0.48964,0.69056,0.70895,0.75043,0.46483,0.96999,1.52869,0.95743,1.11271,0.00122937,0.00122937,0.00122937
7,106.782,0.87951,1.45816,0.84975,1.13153,0.69809,0.78362,0.79573,0.51266,0.70337,0.78362,0.7871,0.50268,0.92361,1.72614,0.94167,1.12922,0.00122525,0.00122525,0.00122525
8,121.033,0.87216,1.40674,0.80719,1.12945,0.76961,0.74469,0.79589,0.53003,0.64618,0.76639,0.76828,0.47921,0.96973,1.78118,0.91924,1.13799,0.00122112,0.00122112,0.00122112
9,135.16,0.82401,1.3821,0.77821,1.09626,0.73702,0.75368,0.75556,0.51215,0.71216,0.73407,0.75583,0.48271,1.04653,1.67475,0.94338,1.18245,0.001217,0.001217,0.001217
10,149.29,0.80383,1.32787,0.73819,1.09367,0.61535,0.78064,0.77083,0.5023,0.60615,0.74208,0.74198,0.47349,0.95797,1.65421,0.90312,1.15205,0.00121287,0.00121287,0.00121287
11,163.525,0.82417,1.32345,0.73743,1.09638,0.75352,0.77964,0.78923,0.56044,0.75089,0.75721,0.79908,0.53369,0.83385,1.51528,0.78791,1.07689,0.00120875,0.00120875,0.00120875
12,177.803,0.78581,1.26861,0.70744,1.07265,0.69793,0.74487,0.76495,0.5351,0.7335,0.73771,0.76492,0.50241,0.82026,1.61105,0.70954,1.05444,0.00120462,0.00120462,0.00120462
13,191.97,0.781,1.25218,0.69279,1.0764,0.75882,0.80706,0.79518,0.5546,0.70963,0.75439,0.75389,0.51436,0.88894,1.63246,0.76851,1.09063,0.0012005,0.0012005,0.0012005
14,206.126,0.76928,1.23919,0.66788,1.06628,0.73341,0.82177,0.80788,0.58594,0.7069,0.81258,0.79473,0.53186,0.81481,1.74483,0.7544,1.04876,0.00119637,0.00119637,0.00119637
15,220.404,0.75483,1.21611,0.65575,1.06319,0.73612,0.82803,0.83291,0.59243,0.72727,0.84153,0.83161,0.54494,0.77669,1.48985,0.72078,1.05284,0.00119225,0.00119225,0.00119225
16,234.785,0.74741,1.22679,0.65827,1.05944,0.72637,0.82202,0.82932,0.583,0.71922,0.81416,0.82217,0.53797,0.79041,1.52613,0.74396,1.03967,0.00118812,0.00118812,0.00118812
17,248.934,0.73156,1.19493,0.63797,1.05825,0.74225,0.83111,0.80115,0.58232,0.69518,0.80231,0.77685,0.53157,0.7352,1.54475,0.711,1.01419,0.001184,0.001184,0.001184
18,263.092,0.72481,1.19552,0.62431,1.05256,0.7202,0.8202,0.82319,0.58469,0.69823,0.79746,0.79685,0.53935,0.74272,1.77379,0.70442,1.00659,0.00117988,0.00117988,0.00117988
19,277.252,0.71387,1.17023,0.61429,1.04439,0.76182,0.79234,0.82866,0.59687,0.76352,0.79275,0.82523,0.54021,0.75929,1.71798,0.64247,1.01025,0.00117575,0.00117575,0.00117575
20,291.422,0.71417,1.18899,0.59787,1.03642,0.7622,0.7738,0.8155,0.59377,0.76683,0.80139,0.81759,0.53209,0.78847,1.60668,0.82454,1.0492,0.00117163,0.00117163,0.00117163
21,305.658,0.69501,1.15299,0.59614,1.03252,0.74093,0.80758,0.83555,0.58838,0.71402,0.78358,0.81386,0.54731,0.80106,1.46582,0.62327,1.03615,0.0011675,0.0011675,0.0011675
22,319.895,0.6919,1.17696,0.58002,1.02686,0.78687,0.8174,0.84966,0.62367,0.78612,0.81936,0.84956,0.58034,0.72544,1.46188,0.62284,1.0136,0.00116337,0.00116337,0.00116337
23,334.245,0.68552,1.12118,0.57446,1.02542,0.80089,0.82533,0.85333,0.62372,0.77978,0.80458,0.83106,0.5868,0.70456,1.67484,0.58959,0.99902,0.00115925,0.00115925,0.00115925
24,348.529,0.69874,1.13118,0.5844,1.03524,0.7705,0.83592,0.86121,0.61849,0.75552,0.82121,0.854,0.55321,0.73462,1.29293,0.69637,1.02016,0.00115513,0.00115513,0.00115513
25,362.675,0.67648,1.10843,0.60334,1.01318,0.78987,0.77581,0.82415,0.6064,0.76846,0.76049,0.80885,0.5506,0.76247,1.36375,0.65925,1.02592,0.001151,0.001151,0.001151
26,376.915,0.68329,1.1067,0.56835,1.03035,0.77158,0.81062,0.83227,0.62241,0.7432,0.78596,0.80964,0.55625,0.72512,1.41428,0.60312,1.01072,0.00114688,0.00114688,0.00114688
27,391.108,0.68274,1.15701,0.56439,1.02492,0.78324,0.79812,0.83666,0.633,0.85009,0.7474,0.81683,0.56855,0.66625,1.58445,0.57967,0.98214,0.00114275,0.00114275,0.00114275
28,405.324,0.66183,1.08558,0.53405,1.02186,0.77264,0.82455,0.8299,0.6024,0.70525,0.81015,0.80519,0.53004,0.71545,1.31907,0.58615,1.00628,0.00113863,0.00113863,0.00113863
29,419.521,0.67198,1.08273,0.559,1.02251,0.79385,0.83752,0.83829,0.62259,0.79036,0.83012,0.83587,0.5778,0.7548,1.65698,0.66124,1.02291,0.0011345,0.0011345,0.0011345
30,433.81,0.64986,1.07672,0.53363,1.00886,0.83571,0.83666,0.86045,0.61929,0.81482,0.81774,0.84413,0.57589,0.73799,1.33676,0.63056,0.9968,0.00113038,0.00113038,0.00113038
31,448.283,0.64045,1.09165,0.57054,0.99887,0.76106,0.84907,0.86006,0.64148,0.81666,0.7916,0.87373,0.58635,0.72102,1.30468,0.55033,0.99371,0.00112625,0.00112625,0.00112625
32,462.804,0.65382,1.09201,0.54719,1.01138,0.82099,0.78828,0.85684,0.62925,0.83882,0.80126,0.86273,0.59977,0.76828,1.35169,0.57566,1.01227,0.00112213,0.00112213,0.00112213
33,477.088,0.65077,1.08394,0.53862,1.01104,0.8063,0.80659,0.86122,0.62098,0.7863,0.77077,0.83647,0.58438,0.69041,1.48574,0.54817,0.98872,0.001118,0.001118,0.001118
34,491.471,0.63233,1.08216,0.51001,0.99531,0.83318,0.80599,0.85416,0.62899,0.83668,0.80088,0.84664,0.56837,0.76177,1.58798,0.54112,1.0133,0.00111388,0.00111388,0.00111388
35,505.775,0.64485,1.05849,0.5073,1.0008,0.71475,0.82568,0.82488,0.60244,0.69508,0.80275,0.80066,0.54727,0.68667,1.52673,0.54791,0.98171,0.00110975,0.00110975,0.00110975
36,520.045,0.62794,1.04557,0.51407,0.99939,0.81285,0.83146,0.87626,0.65183,0.84868,0.77325,0.86021,0.59867,0.70745,1.31605,0.55872,0.99331,0.00110563,0.00110563,0.00110563
37,534.377,0.62292,1.02285,0.49632,0.99632,0.86165,0.84648,0.88367,0.63143,0.80801,0.7757,0.83065,0.56469,0.75508,1.40546,0.6399,1.01127,0.0011015,0.0011015,0.0011015
38,548.581,0.62016,1.02514,0.49898,0.99869,0.84284,0.83393,0.86543,0.6479,0.78542,0.78342,0.81889,0.57427,0.73742,1.43952,0.55451,0.99883,0.00109738,0.00109738,0.00109738
39,562.788,0.625,1.0293,0.51048,0.99442,0.86105,0.81352,0.87222,0.64627,0.79233,0.78706,0.84586,0.57842,0.73439,1.43997,0.59296,1.0042,0.00109325,0.00109325,0.00109325
40,576.992,0.62066,1.01105,0.50829,0.99381,0.8489,0.79924,0.86651,0.63657,0.83078,0.77912,0.84658,0.57117,0.74738,1.46234,0.60246,1.00889,0.00108913,0.00108913,0.00108913
41,591.243,0.61759,0.99678,0.49618,0.98994,0.82834,0.80074,0.84062,0.62557,0.76186,0.85197,0.8564,0.59392,0.72671,1.47149,0.58936,1.01545,0.001085,0.001085,0.001085
